Annotation	Freq	Accession	Assembly	Annotation2
Mitochondria	10	22001	Unplaced contigs	mitochondria
Other repeat	1	22001	Unplaced contigs	repeat_region
Telomere	4	22001	Unplaced contigs	telomere
None	8	22001	Unplaced contigs	NA
45S rDNA	17	22002	Unplaced contigs	45S
5S rDNA	10	22002	Unplaced contigs	5S
Centromere	191	22002	Unplaced contigs	centromere
Plastid	7	22002	Unplaced contigs	chloroplast
Transposable element	7	22002	Unplaced contigs	ClassI_LTR
Transposable element	5	22002	Unplaced contigs	ClassII_Helitrons
Transposable element	3	22002	Unplaced contigs	ClassII_TIR
Mitochondria	10	22002	Unplaced contigs	mitochondria
Other repeat	9	22002	Unplaced contigs	repeat_region
Telomere	14	22002	Unplaced contigs	telomere
None	65	22002	Unplaced contigs	NA
45S rDNA	16	22003	Unplaced contigs	45S
5S rDNA	20	22003	Unplaced contigs	5S
Centromere	43	22003	Unplaced contigs	centromere
Plastid	9	22003	Unplaced contigs	chloroplast
Transposable element	1	22003	Unplaced contigs	ClassI_LTR
Transposable element	4	22003	Unplaced contigs	ClassII_Helitrons
Transposable element	1	22003	Unplaced contigs	ClassII_TIR
Mitochondria	4	22003	Unplaced contigs	mitochondria
None	6	22003	Unplaced contigs	NA
45S rDNA	20	22004	Unplaced contigs	45S
5S rDNA	21	22004	Unplaced contigs	5S
Centromere	104	22004	Unplaced contigs	centromere
Plastid	6	22004	Unplaced contigs	chloroplast
Transposable element	1	22004	Unplaced contigs	ClassI_LTR
Transposable element	3	22004	Unplaced contigs	ClassII_TIR
Mitochondria	5	22004	Unplaced contigs	mitochondria
Other repeat	4	22004	Unplaced contigs	repeat_region
Telomere	3	22004	Unplaced contigs	telomere
None	11	22004	Unplaced contigs	NA
45S rDNA	28	22005	Unplaced contigs	45S
5S rDNA	16	22005	Unplaced contigs	5S
Centromere	58	22005	Unplaced contigs	centromere
Plastid	7	22005	Unplaced contigs	chloroplast
Transposable element	2	22005	Unplaced contigs	ClassI_LTR
Transposable element	1	22005	Unplaced contigs	ClassII_Helitrons
Transposable element	2	22005	Unplaced contigs	ClassII_TIR
Mitochondria	4	22005	Unplaced contigs	mitochondria
Other repeat	2	22005	Unplaced contigs	repeat_region
Telomere	4	22005	Unplaced contigs	telomere
None	6	22005	Unplaced contigs	NA
45S rDNA	6	22006	Unplaced contigs	45S
5S rDNA	13	22006	Unplaced contigs	5S
Centromere	33	22006	Unplaced contigs	centromere
Plastid	6	22006	Unplaced contigs	chloroplast
Transposable element	6	22006	Unplaced contigs	ClassI_LTR
Transposable element	2	22006	Unplaced contigs	ClassII_TIR
Mitochondria	4	22006	Unplaced contigs	mitochondria
Other repeat	1	22006	Unplaced contigs	repeat_region
Telomere	8	22006	Unplaced contigs	telomere
None	11	22006	Unplaced contigs	NA
45S rDNA	22	22007	Unplaced contigs	45S
5S rDNA	23	22007	Unplaced contigs	5S
Centromere	84	22007	Unplaced contigs	centromere
Plastid	7	22007	Unplaced contigs	chloroplast
Transposable element	2	22007	Unplaced contigs	ClassI_LTR
Transposable element	1	22007	Unplaced contigs	ClassII_Helitrons
Mitochondria	14	22007	Unplaced contigs	mitochondria
Other repeat	1	22007	Unplaced contigs	repeat_region
Telomere	2	22007	Unplaced contigs	telomere
None	18	22007	Unplaced contigs	NA
